rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
0.05,12213,-138.18817164000004,132,1965.82,2936,1621691,392922,0.0001,2.1860170364379883,,
0.05,12347,-161.25769607000004,132,2055.55,2940,1633691,395922,0.0001,0.29872971773147583,,
0.05,12459,-184.38606023,132,2154.08,2944,1645691,398922,0.0001,0.18808822333812714,,
0.05,12567,-197.50370098,131,2214.19,2948,1655661,401415,0.0001,0.35587748885154724,,
0.05,12673,-218.18850943,131,2272.65,2952,1665221,403805,0.0001,0.33572277426719666,,
0.05,12764,-228.58007498000003,131,2305.05,2956,1674559,406139,0.0001,0.23952515423297882,,
0.05,12899,-240.39518537,130,2344.0,2960,1683917,408479,0.0001,0.4544067680835724,,
0.05,13001,-257.41854664000005,130,2419.21,2964,1693252,410812,0.0001,1.1770164966583252,,
0.05,,,,,,1700000,412499,0.0001,0.3346748650074005,3000.0,-392.8817542438448
0.05,13245,-268.36098591,128,2473.72,2968,1706000,413999,0.0001,0.2848093509674072,,
0.05,13349,-278.08698433999996,128,2502.04,2972,1718000,416999,0.0001,1.7378950119018555,,
0.05,13475,-290.07135455,128,2534.99,2976,1730000,419999,0.0001,3.4551305770874023,,
0.05,13562,-289.6267631,128,2536.9,2980,1739389,422347,0.0001,0.30487966537475586,,
0.05,13630,-292.6983695,128,2545.92,2984,1748783,424695,0.0001,0.4117709696292877,,
0.05,13694,-285.18696577000003,128,2495.1,2988,1758436,427108,0.0001,0.3936690390110016,,
0.05,13753,-277.12889098,128,2471.99,2992,1765581,428895,0.0001,0.3825682997703552,,
0.05,13861,-291.6761660499999,128,2528.93,2996,1776166,431541,0.0001,0.3383510708808899,,
0.05,13928,-294.32311610999994,128,2536.78,3000,1785525,433881,0.0001,0.24833941459655762,,
0.05,14037,-297.02011266000005,128,2542.65,3004,1797525,436881,0.0001,0.5166455507278442,,
0.05,,,,,,1800000,437499,0.0001,0.24663618206977844,3000.0,-381.3255962806223
0.05,14312,-310.77468645,126,2605.41,3008,1810693,440173,0.0001,4.235589504241943,,
0.05,14398,-305.30416285,126,2584.05,3012,1818848,442211,0.0001,1.552156925201416,,
0.05,14478,-309.11255101,126,2601.04,3016,1829922,444980,0.0001,1.5464907884597778,,
0.05,14543,-299.29374823,126,2567.39,3020,1838557,447139,0.0001,0.23982393741607666,,
0.05,14626,-294.24563549,126,2553.59,3024,1846558,449139,0.0001,0.8034713268280029,,
0.05,14637,-275.62354541999997,126,2460.65,3028,1849065,449766,0.0001,0.14515875279903412,,
0.05,14643,-265.01379254000005,126,2414.06,3032,1851263,450315,0.0001,1.490987777709961,,
0.05,14695,-251.62906362,126,2365.29,3036,1858220,452054,0.0001,1.9447355270385742,,
0.05,14735,-241.29566925999998,126,2315.5,3040,1865241,453810,0.0001,0.19155268371105194,,
0.05,14779,-228.04020405,126,2271.76,3044,1872867,455716,0.0001,1.2885299921035767,,
0.05,14793,-209.77798489,126,2207.11,3048,1876372,456592,0.0001,1.0734096765518188,,
0.05,14817,-191.81062024,126,2155.87,3052,1880808,457701,0.0001,0.1557236611843109,,
0.05,14863,-185.25318502,127,2133.3,3056,1887889,459472,0.0001,0.1670958697795868,,
0.05,14886,-170.86856529999997,127,2079.71,3060,1891888,460471,0.0001,0.5669207572937012,,
0.05,14902,-155.93886677999998,127,2020.94,3064,1895346,461336,0.0001,0.509902834892273,,
0.05,14908,-131.11526107000003,127,1914.52,3068,1897452,461862,0.0001,1.68861985206604,,
0.05,,,,,,1900000,462499,0.0001,0.20328478515148163,1067.8,131.89993585093086
0.05,14949,-107.96630573,127,1836.36,3072,1901636,462908,0.0001,0.7196975350379944,,
0.05,14966,-86.19811635,127,1758.82,3076,1905882,463970,0.0001,0.4900018274784088,,
0.05,14975,-68.81096365,127,1692.48,3080,1908637,464659,0.0001,0.2220226377248764,,
0.05,14983,-50.77947719000001,127,1620.97,3084,1910880,465219,0.0001,3.2094340324401855,,
0.05,14997,-35.03272027,127,1557.47,3088,1914183,466045,0.0001,1.623085379600525,,
0.05,15023,-31.40903886,127,1538.44,3092,1919425,467356,0.0001,0.3067435920238495,,
0.05,15031,-12.823530950000002,127,1455.11,3096,1921677,467919,0.0001,0.13666333258152008,,
0.05,15054,0.35935203,127,1405.81,3100,1926106,469026,0.0001,0.5862283110618591,,
0.05,15102,18.156461429999997,127,1350.69,3104,1932594,470648,0.0001,0.5988314747810364,,
0.05,15120,39.12925173,128,1256.69,3108,1936362,471590,0.0001,0.5172855854034424,,
0.05,15161,46.2734588,128,1235.39,3112,1942387,473096,0.0001,0.7095268964767456,,
0.05,15190,60.07937318000001,128,1176.39,3116,1947561,474390,0.0001,0.18409785628318787,,
0.05,15207,71.54035737999999,128,1132.5,3120,1951807,475451,0.0001,0.2290949523448944,,
0.05,15225,81.41822250000001,128,1086.15,3124,1955173,476293,0.0001,0.3553756773471832,,
